"","package","version","requirement"
"1","aiohttp","3.9.5","aiohttp==3.9.5"
"2","aiosignal","1.3.1","aiosignal==1.3.1"
"3","async-timeout","4.0.3","async-timeout==4.0.3"
"4","attrs","23.2.0","attrs==23.2.0"
"5","certifi","2024.6.2","certifi==2024.6.2"
"6","charset-normalizer","3.3.2","charset-normalizer==3.3.2"
"7","colorama","0.4.6","colorama==0.4.6"
"8","filelock","3.15.1","filelock==3.15.1"
"9","frozenlist","1.4.1","frozenlist==1.4.1"
"10","fsspec","2024.6.0","fsspec==2024.6.0"
"11","idna","3.7","idna==3.7"
"12","intel-openmp","2021.4.0","intel-openmp==2021.4.0"
"13","Jinja2","3.1.4","Jinja2==3.1.4"
"14","joblib","1.4.2","joblib==1.4.2"
"15","MarkupSafe","2.1.5","MarkupSafe==2.1.5"
"16","mkl","2021.4.0","mkl==2021.4.0"
"17","mpmath","1.3.0","mpmath==1.3.0"
"18","multidict","6.0.5","multidict==6.0.5"
"19","networkx","3.3","networkx==3.3"
"20","numpy","1.26.4","numpy==1.26.4"
"21","pandas","2.2.2","pandas==2.2.2"
"22","psutil","5.9.8","psutil==5.9.8"
"23","pyparsing","3.1.2","pyparsing==3.1.2"
"24","python-dateutil","2.9.0.post0","python-dateutil==2.9.0.post0"
"25","pytz","2024.1","pytz==2024.1"
"26","requests","2.32.3","requests==2.32.3"
"27","scikit-learn","1.5.0","scikit-learn==1.5.0"
"28","scipy","1.13.1","scipy==1.13.1"
"29","six","1.16.0","six==1.16.0"
"30","sympy","1.12.1","sympy==1.12.1"
"31","tbb","2021.12.0","tbb==2021.12.0"
"32","threadpoolctl","3.5.0","threadpoolctl==3.5.0"
"33","torch","2.3.1","torch==2.3.1"
"34","torch_geometric","2.5.3","torch_geometric==2.5.3"
"35","tqdm","4.66.4","tqdm==4.66.4"
"36","typing_extensions","4.12.2","typing_extensions==4.12.2"
"37","tzdata","2024.1","tzdata==2024.1"
"38","urllib3","2.2.1","urllib3==2.2.1"
"39","yarl","1.9.4","yarl==1.9.4"
